dataset1_index,dataset2_index,dataset1_name,dataset2_name,distance_meters,name_similarity,combined_score,dataset1_id,dataset2_id,dataset1_x,dataset1_y,dataset2_x,dataset2_y
13,13,МАРИИНСКИЙ ТЕАТР,Мариинский театр,8.497419971338092,1.0,0.8810361204012667,303,761,348624.8475298603,6646199.330139941,348632.829967031,6646202.243358605
57,14,ЛЕРМОНТОВСКИЙ ПР,Лермонтовский пр.,8.407523452538715,1.0,0.882294671664458,1382,762,348712.8594111622,6645856.079618121,348717.99555447156,6645862.7359296
95,16,УЛ. ЦИОЛКОВСКОГО,ул. Циолковского,10.127693718851894,1.0,0.8582122879360734,5740,764,348012.7741778615,6644903.053489753,348022.89223133714,6644903.495274686
128,36,БАЛТИЙСКИЙ ВОКЗАЛ,Балтийский вокзал,10.141053742219711,1.0,0.8580252476089241,7797,988,348948.1878478774,6644206.939677436,348940.7127043989,6644200.0867072055
3,37,БАЛТИЙСКИЙ ВОКЗАЛ,Балтийский вокзал,14.263652542027668,1.0,0.8003088644116125,55,989,349009.03766003816,6644237.673792635,349012.4583983261,6644251.521187098
39,38,БАЛТИЙСКИЙ ВОКЗАЛ,Балтийский вокзал,26.50153027809666,1.0,0.6289785761066468,978,990,348853.9952208438,6644332.581853976,348828.34192103555,6644339.233118218
46,39,КУРЛЯНДСКАЯ УЛ,Курляндская ул.,7.845531849139191,1.0,0.8901625541120513,1182,991,347683.7966013994,6644621.095816299,347685.17279458314,6644628.819705366
4,58,ВОЗНЕСЕНСКИЙ ПР,Вознесенский пр.,2.947364728847153,1.0,0.9587368937961398,113,1378,349680.4424914297,6645962.790720055,349677.68062530924,6645961.761616378
52,59,НОВО-НИКОЛЬСКИЙ МОСТ,Ново-Никольский мост,7.167048448129892,1.0,0.8996613217261815,1245,1379,349333.61788613314,6645763.950588595,349327.45325302926,6645767.606252988
40,60,ВОЗНЕСЕНСКИЙ ПР,Вознесенский пр.,6.4350375886594495,1.0,0.9099094737587676,1036,1380,349488.1477143548,6645846.581462646,349487.46784543915,6645852.980484995
21,62,НОВО-НИКОЛЬСКИЙ МОСТ,Ново-Никольский мост,5.459462992371051,1.0,0.9235675181068053,341,1382,349177.8967255234,6645722.972783293,349175.767696955,6645728.000006534
26,63,СЕННАЯ пл.,Сенная пл.,3.903982528309134,1.0,0.945344244603672,570,1383,349975.96237138193,6646213.719615796,349973.839977002,6646216.996278988
53,64,ПЕР. БОЙЦОВА,пер. Бойцова,45.16900878864079,1.0,0.367633876959029,1276,1384,349652.28810896527,6645963.55359291,349613.7320516488,6645940.0234038085
86,65,"ТРОИЦКИЙ ПР., УГОЛ ИЗМАЙЛОВСКОГО ПР","Троицкий пр., угол Измайловского пр.",4.7737754751121395,1.0,0.9331671433484299,4961,1417,349426.23280501633,6645138.422356525,349426.9025192128,6645133.695791686
29,68,ст. м. ТЕХНОЛОГИЧЕСКИЙ ИНСТИТУТ,ст. м. Технологический институт,16.084503043790786,1.0,0.7748169573869289,630,1420,349995.2754317635,6645126.3736672,350011.1610719786,6645123.852224533
44,70,КАЗАНСКАЯ УЛ,Казанская ул.,1.2317966141433374,1.0,0.9827548474019931,1133,1424,349569.6136462032,6646510.692184312,349570.52567992324,6646509.864224535
78,71,ИЗМАЙЛОВСКИЙ БУЛЬВАР,Измайловский пр.,15.792986052561147,0.7,0.6888981952641439,2169,1447,349330.7631708387,6644296.339299761,349315.8447913644,6644301.521998123
49,72,МОСКОВСКИЙ ПР,Московский пр.,12.394063704754048,1.0,0.8264831081334432,1225,1448,349935.5301937633,6644256.110872497,349945.5943268867,6644263.344546501
62,57,ст. м. СЕННАЯ пл.,ст. м. Сенная пл.,32.69090606332258,1.0,0.5423273151134839,1514,1371,350280.9917742526,6646407.793843461,350248.5337566716,6646403.898662599
38,56,АЛАРЧИН МОСТ,Аларчин мост,12.420769617902122,1.0,0.8261092253493703,970,1359,348300.2864184771,6645661.922721859,348308.45616026234,6645671.278513491
82,55,НАБ. РЕКИ ФОНТАНКИ,наб. реки Фонтанки,8.628340605159119,1.0,0.8792032315277722,4104,1358,347847.81836892804,6645049.170258154,347848.2902774841,6645057.785684082
10,46,КУРЛЯНДСКАЯ УЛ,Курляндская ул.,3.38158194184249,1.0,0.9526578528142051,268,998,347752.534404687,6644762.959087222,347753.7653238814,6644759.809494492
73,40,НАБ. ОБВОДНОГО КАНАЛА,наб. Обводного канала,5.006921968407563,1.0,0.929903092442294,2028,992,347658.7536566292,6644505.681531141,347663.741356215,6644505.243215684
64,41,СТАРО-ПЕТЕРГОФСКИЙ ПР,Старо-Петергофский пр.,23.55289643499044,1.0,0.6702594499101338,1526,993,347692.4047839828,6644407.31935741,347668.8965162587,6644408.768591377
17,43,"НАБ. ОБВОДНОГО КАНАЛА,138","наб. Обводного канала, 138",39.11026577579169,1.0,0.4524562791389164,327,995,347997.94750258443,6644365.356625679,348037.0573078876,6644365.166841059
5,54,ДВОРЦОВАЯ ПЛ,Дворцовая пл.,11.443993657994376,1.0,0.8397840887880788,145,1328,349782.692788443,6647643.507426815,349777.81014022673,6647653.857534894
7,48,КАЗАНСКАЯ УЛ,Казанская ул.,3.391915481307045,1.0,0.9525131832617013,220,1232,349559.59061196796,6646545.059542705,349558.9821272945,6646548.396433029
71,50,"ЛЕРМОНТОВСКИЙ ПР.,10","Лермонтовский пр., 10",46.33448554982534,1.0,0.35131720230244523,1881,1250,348657.17681004986,6645904.155021001,348678.4115574489,6645862.972864014
15,52,"МОСКОВСКИЙ ПР.,5","Московский пр., 5",9.930360109836537,1.0,0.8609749584622886,319,1304,350059.1209590414,6646116.473012239,350059.7522454307,6646126.383286171
60,53,СЕННАЯ пл.,Сенная пл.,4.5012143638228315,1.0,0.9369829989064804,1449,1305,349929.75064842636,6646153.394008972,349930.75142455904,6646157.782559744
149,149,НАБ. КРЮКОВА КАНАЛА,наб. Крюкова канала,13.809967603426658,1.0,0.8066604535520268,8564,4619,348807.92812618124,6645875.853765234,348821.030114566,6645880.218751554
